year,month,anomaly,absolute
1880,10,-0.449,13.941
1880,11,-1.004,13.386
1880,12,-1.352,13.038
1881,1,-0.722,13.668
1881,2,-0.2,14.19
1881,3,-0.18,14.21
1881,4,-0.107,14.283
1881,5,-0.194,14.196
1881,6,-0.481,13.909
1881,7,0.103,14.493
1881,8,0.165,14.555
1881,9,-0.484,13.906
1881,10,-0.676,13.714
1881,11,-0.86,13.53
1881,12,-0.511,13.879
1882,1,0.379,14.769
1882,2,-0.176,14.214
1882,3,-0.449,13.941
1882,4,-0.709,13.681
1882,5,-0.503,13.887
1882,6,-0.483,13.907
1882,7,-0.585,13.805
1882,8,-0.043,14.347
1882,9,0.016,14.406
1882,10,-0.171,14.219
1882,11,-0.181,14.209
1882,12,-0.368,14.022
1883,1,-1.027,13.363
1883,2,-1.369,13.021
1883,3,-0.849,13.541
1883,4,-0.457,13.933
1883,5,-0.557,13.833
1883,6,0.42,14.81
1883,7,-0.123,14.267
1883,8,-0.419,13.971
1883,9,-0.311,14.079
1883,10,-0.38,14.01
1883,11,-0.677,13.713
1883,12,-0.578,13.812
1884,1,-0.455,13.935
1884,2,-0.616,13.774
1884,3,-0.614,13.776
1884,4,-0.838,13.552
1884,5,-1.071,13.319
1884,6,-0.689,13.701
1884,7,-0.758,13.632
1884,8,-0.68,13.71
1884,9,-0.751,13.639
1884,10,-0.747,13.643
1884,11,-1.064,13.326
1884,12,-0.987,13.403
1885,1,-1.681,12.709
1885,2,-0.777,13.613
1885,3,-0.409,13.981
1885,4,-0.721,13.669
1885,5,-0.318,14.072
1885,6,-0.59,13.8
1885,7,-0.007,14.383
1885,8,-0.066,14.324
1885,9,-0.682,13.708
1885,10,-0.153,14.237
1885,11,-0.22,14.17
1885,12,0.152,14.542
1886,1,-1.315,13.075
1886,2,-1.075,13.315
1886,3,-0.33,14.06
1886,4,0.001,14.391
1886,5,-0.231,14.159
1886,6,-0.218,14.172
1886,7,-0.137,14.253
1886,8,-0.509,13.881
1886,9,-0.67,13.72
1886,10,-0.269,14.121
1886,11,-0.283,14.107
1886,12,-0.341,14.049
1887,1,-1.146,13.244
1887,2,-0.588,13.802
1887,3,-0.181,14.209
1887,4,-0.083,14.307
1887,5,0.151,14.541
1887,6,-0.893,13.497
1887,7,-0.229,14.161
1887,8,-0.513,13.877
1887,9,-0.509,13.881
1887,10,-0.184,14.206
1887,11,0.157,14.547
1887,12,-0.55,13.84
1888,1,-1.064,13.326
1888,2,-0.884,13.506
1888,3,-0.42,13.97
1888,4,-0.244,14.146
1888,5,-0.736,13.654
1888,6,-0.451,13.939
1888,7,-0.155,14.235
1888,8,-0.352,14.038
1888,9,-0.09,14.3
1888,10,-0.057,14.333
1888,11,-0.118,14.272
1888,12,0.464,14.854
1889,1,-0.696,13.694
1889,2,-0.008,14.382
1889,3,0.458,14.848
1889,4,0.145,14.535
1889,5,-0.096,14.294
1889,6,-0.026,14.364
1889,7,0.097,14.487
1889,8,-0.105,14.285
1889,9,-0.508,13.882
1889,10,-0.105,14.285
1889,11,-0.343,14.047
1889,12,0.223,14.613
1890,1,-0.5,13.89
1890,2,-0.308,14.082
1890,3,-0.755,13.635
1890,4,-0.492,13.898
1890,5,-0.363,14.027
1890,6,-0.645,13.745
1890,7,-0.386,14.004
1890,8,-0.361,14.029
1890,9,-0.655,13.735
1890,10,-0.207,14.183
1890,11,-0.216,14.174
1890,12,-0.45,13.94
1891,1,-0.503,13.887
1891,2,-0.865,13.525
1891,3,-0.595,13.795
1891,4,-0.354,14.036
1891,5,-0.643,13.747
1891,6,-0.72,13.67
1891,7,-0.163,14.227
1891,8,-0.23,14.16
1891,9,-0.257,14.133
1891,10,0.036,14.426
1891,11,-0.457,13.933
1891,12,0.81,15.2
1892,1,-0.444,13.946
1892,2,0.125,14.515
1892,3,-0.457,13.933
1892,4,-0.417,13.973
1892,5,-0.486,13.904
1892,6,-0.267,14.123
1892,7,-0.122,14.268
1892,8,-0.305,14.085
1892,9,-0.042,14.348
1892,10,0.083,14.473
1892,11,-1.131,13.259
1892,12,-0.686,13.704
1893,1,-2.199,12.191
1893,2,-1.24,13.15
1893,3,-0.14,14.25
1893,4,-0.625,13.765
1893,5,-0.457,13.933
1893,6,-0.388,14.002
1893,7,-0.237,14.153
1893,8,-0.336,14.054
1893,9,-0.2,14.19
1893,10,0.148,14.538
1893,11,-0.083,14.307
1893,12,-0.148,14.242
1894,1,-0.701,13.689
1894,2,-0.098,14.292
1894,3,-0.236,14.154
1894,4,-0.592,13.798
1894,5,-0.337,14.053
1894,6,-0.526,13.864
1894,7,-0.26,14.13
1894,8,-0.318,14.072
1894,9,-0.578,13.812
1894,10,-0.034,14.356
1894,11,-0.55,13.84
1894,12,-0.326,14.064
1895,1,-1.108,13.282
1895,2,-0.653,13.737
1895,3,-0.479,13.911
1895,4,0.222,14.612
1895,5,-0.173,14.217
1895,6,-0.287,14.103
1895,7,-0.319,14.071
1895,8,-0.278,14.112
1895,9,-0.277,14.113
1895,10,0.055,14.445
1895,11,-0.288,14.102
1895,12,0.08,14.47
1896,1,-0.187,14.203
1896,2,-0.542,13.848
1896,3,-0.928,13.462
1896,4,-0.854,13.536
1896,5,-0.314,14.076
1896,6,-0.109,14.281
1896,7,-0.314,14.076
1896,8,-0.175,14.215
1896,9,-0.236,14.154
1896,10,0.357,14.747
1896,11,-0.549,13.841
1896,12,-0.2,14.19
1897,1,-0.66,13.73
1897,2,-0.874,13.516
1897,3,-1.043,13.347
1897,4,-0.125,14.265
1897,5,-0.023,14.367
1897,6,0.071,14.461
1897,7,0.109,14.499
1897,8,0.036,14.426
1897,9,-0.032,14.358
1897,10,0.114,14.504
1897,11,-0.026,14.364
1897,12,-0.569,13.821
1898,1,0.257,14.647
1898,2,-0.868,13.522
1898,3,-1.154,13.236
1898,4,-0.052,14.338
1898,5,-0.316,14.074
1898,6,0.072,14.462
1898,7,-0.128,14.262
1898,8,-0.186,14.204
1898,9,-0.361,14.029
1898,10,-0.38,14.01
1898,11,-0.246,14.144
1898,12,0.298,14.688
1899,1,0.373,14.763
1899,2,-0.855,13.535
1899,3,-0.626,13.764
1899,4,0.079,14.469
1899,5,-0.119,14.271
1899,6,-0.363,14.027
1899,7,-0.003,14.387
1899,8,-0.108,14.282
1899,9,0.242,14.632
1899,10,0.209,14.599
1899,11,0.75,15.14
1899,12,-0.308,14.082
1900,1,-0.878,13.512
1900,2,0.158,14.548
1900,3,0.177,14.567
1900,4,-0.381,14.009
1900,5,0.217,14.607
